"Team","Conference","YUSAG_Coefficient","rank","info","Conference_Rank","record","conf_record"
"Green Bay","Horizon",-8.83,293,"(Conference Rank:  27)",6,"8 - 20","6 - 12"
"IUPUI","Horizon",-8.97,295,"(Conference Rank:  27)",7,"8 - 19","7 - 11"
"Youngstown St.","Horizon",-10.78,314,"(Conference Rank:  27)",8,"6 - 23","6 - 12"
"Detroit Mercy","Horizon",-11.29,319,"(Conference Rank:  27)",9,"7 - 22","5 - 13"
"Cleveland St.","Horizon",-11.58,321,"(Conference Rank:  27)",10,"6 - 24","4 - 14"
"Princeton","Ivy",4.36,106,"(Conference Rank:  20)",1,"18 - 10","11 - 3"
"Penn","Ivy",2.65,136,"(Conference Rank:  20)",2,"20 - 9","11 - 3"
"Harvard","Ivy",-0.11,170,"(Conference Rank:  20)",3,"14 - 14","10 - 4"
"Yale","Ivy",-2.78,205,"(Conference Rank:  20)",4,"12 - 17","6 - 8"
"Columbia","Ivy",-3.68,219,"(Conference Rank:  20)",5,"8 - 18","6 - 8"
"Brown","Ivy",-4.75,239,"(Conference Rank:  20)",6,"12 - 14","6 - 8"
"Dartmouth","Ivy",-7.76,271,"(Conference Rank:  20)",7,"6 - 20","3 - 11"
"Cornell","Ivy",-8.41,282,"(Conference Rank:  20)",8,"9 - 17","4 - 10"
"Iona","MAAC",3.58,119,"(Conference Rank:  19)",1,"20 - 10","14 - 4"
"Rider","MAAC",2.88,132,"(Conference Rank:  19)",2,"21 - 9","14 - 4"
"Canisius","MAAC",1.89,149,"(Conference Rank:  19)",3,"19 - 12","13 - 5"
"Monmouth","MAAC",0.16,165,"(Conference Rank:  19)",4,"13 - 17","9 - 9"
"Saint Peter's","MAAC",-1.7,187,"(Conference Rank:  19)",5,"14 - 15","8 - 10"
"Niagara","MAAC",-2.98,207,"(Conference Rank:  19)",6,"18 - 13","11 - 7"
"Manhattan","MAAC",-3.11,210,"(Conference Rank:  19)",7,"14 - 16","9 - 9"
"Fairfield","MAAC",-3.47,218,"(Conference Rank:  19)",8,"12 - 17","7 - 11"
"Siena","MAAC",-7.42,265,"(Conference Rank:  19)",9,"8 - 23","4 - 14"
"Quinnipiac","MAAC",-7.88,273,"(Conference Rank:  19)",10,"11 - 19","8 - 10"
"Marist","MAAC",-10.95,317,"(Conference Rank:  19)",11,"5 - 25","3 - 15"
"Buffalo","MAC",8.2,70,"(Conference Rank:  17)",1,"24 - 6","17 - 1"
"Toledo","MAC",4.99,100,"(Conference Rank:  17)",2,"22 - 8","15 - 3"
"Western Mich.","MAC",-1.32,184,"(Conference Rank:  17)",3,"15 - 14","9 - 9"
"Ohio","MAC",-1.67,186,"(Conference Rank:  17)",4,"13 - 16","7 - 11"
"Eastern Mich.","MAC",-1.73,188,"(Conference Rank:  17)",5,"13 - 14","8 - 10"
"Ball St.","MAC",-1.76,189,"(Conference Rank:  17)",6,"17 - 13","9 - 9"
"Central Mich.","MAC",-2.05,192,"(Conference Rank:  17)",7,"15 - 13","7 - 11"
"Kent St.","MAC",-2.55,201,"(Conference Rank:  17)",8,"14 - 15","9 - 8"
"Miami (OH)","MAC",-3.73,220,"(Conference Rank:  17)",9,"12 - 16","7 - 10"
"Northern Ill.","MAC",-4.55,232,"(Conference Rank:  17)",10,"11 - 18","6 - 12"
"Akron","MAC",-5.1,244,"(Conference Rank:  17)",11,"13 - 16","7 - 11"
"Bowling Green","MAC",-7.04,258,"(Conference Rank:  17)",12,"13 - 16","6 - 12"
"N.C. A&T","MEAC",-8.47,283,"(Conference Rank:  31)",1,"17 - 12","12 - 4"
"Hampton","MEAC",-8.51,285,"(Conference Rank:  31)",2,"11 - 17","9 - 7"
"N.C. Central","MEAC",-8.79,292,"(Conference Rank:  31)",3,"14 - 13","11 - 5"
"Norfolk St.","MEAC",-10.4,310,"(Conference Rank:  31)",4,"11 - 17","10 - 6"
"Bethune-Cookman","MEAC",-10.92,315,"(Conference Rank:  31)",5,"15 - 14","11 - 5"
"Morgan St.","MEAC",-12.41,331,"(Conference Rank:  31)",6,"11 - 16","9 - 7"
"Savannah St.","MEAC",-12.62,332,"(Conference Rank:  31)",7,"11 - 18","10 - 6"
"Howard","MEAC",-12.8,334,"(Conference Rank:  31)",8,"9 - 21","8 - 8"
"Florida A&M","MEAC",-15.69,340,"(Conference Rank:  31)",9,"8 - 23","8 - 8"
"South Carolina St.","MEAC",-18.17,345,"(Conference Rank:  31)",10,"7 - 22","5 - 11"
"Coppin St.","MEAC",-18.25,347,"(Conference Rank:  31)",11,"6 - 25","6 - 10"
"UMES","MEAC",-20.58,350,"(Conference Rank:  31)",12,"5 - 24","3 - 13"
"Delaware St.","MEAC",-23.06,351,"(Conference Rank:  31)",13,"1 - 28","1 - 15"
"Loyola Chicago","MVC",7.32,79,"(Conference Rank:  9)",1,"22 - 7","13 - 5"
"Missouri St.","MVC",4.34,107,"(Conference Rank:  9)",2,"19 - 11","10 - 8"
"UNI","MVC",4.19,112,"(Conference Rank:  9)",3,"14 - 14","8 - 10"
"Bradley","MVC",3.52,121,"(Conference Rank:  9)",4,"19 - 11","10 - 8"
"Indiana St.","MVC",3.01,130,"(Conference Rank:  9)",5,"13 - 15","10 - 8"
"Southern Ill.","MVC",2.41,140,"(Conference Rank:  9)",6,"17 - 13","10 - 8"
"Evansville","MVC",0.28,164,"(Conference Rank:  9)",7,"15 - 14","7 - 11"
"Drake","MVC",-0.19,171,"(Conference Rank:  9)",8,"14 - 16","9 - 9"
"Valparaiso","MVC",-1.31,183,"(Conference Rank:  9)",9,"12 - 17","5 - 13"
"Illinois St.","MVC",-1.34,185,"(Conference Rank:  9)",10,"13 - 16","8 - 10"
"Nevada","MWC",13.41,28,"(Conference Rank:  7)",1,"26 - 6","15 - 3"
"Boise St.","MWC",11.01,47,"(Conference Rank:  7)",2,"23 - 6","14 - 4"
"San Diego St.","MWC",9.7,59,"(Conference Rank:  7)",3,"17 - 11","10 - 8"
"UNLV","MWC",7.52,78,"(Conference Rank:  7)",4,"20 - 11","9 - 9"
"Fresno St.","MWC",6.67,85,"(Conference Rank:  7)",5,"17 - 11","9 - 8"
"New Mexico","MWC",4.46,104,"(Conference Rank:  7)",6,"15 - 15","11 - 7"
"Wyoming","MWC",4.03,114,"(Conference Rank:  7)",7,"18 - 12","10 - 8"
"Utah St.","MWC",2.19,144,"(Conference Rank:  7)",8,"14 - 16","8 - 10"
"Colorado St.","MWC",-2.54,200,"(Conference Rank:  7)",9,"11 - 19","5 - 13"
"Air Force","MWC",-5.87,250,"(Conference Rank:  7)",10,"8 - 19","4 - 13"
"San Jose St.","MWC",-9.21,299,"(Conference Rank:  7)",11,"3 - 25","1 - 17"
"Wagner","NEC",-0.29,173,"(Conference Rank:  29)",1,"19 - 8","14 - 4"
"Robert Morris","NEC",-1.84,190,"(Conference Rank:  29)",2,"19 - 12","13 - 5"
"Saint Francis (PA)","NEC",-3.93,221,"(Conference Rank:  29)",3,"15 - 12","11 - 7"
"Mt. St. Mary's","NEC",-7.85,272,"(Conference Rank:  29)",4,"13 - 16","9 - 9"
"Central Conn. St.","NEC",-8.33,281,"(Conference Rank:  29)",5,"15 - 16","8 - 10"
"St. Francis Brooklyn","NEC",-8.68,288,"(Conference Rank:  29)",6,"11 - 17","10 - 8"
"Fairleigh Dickinson","NEC",-8.71,289,"(Conference Rank:  29)",7,"8 - 19","7 - 11"
"LIU Brooklyn","NEC",-8.85,294,"(Conference Rank:  29)",8,"13 - 17","9 - 9"
"Sacred Heart","NEC",-9.23,300,"(Conference Rank:  29)",9,"10 - 20","6 - 12"
"Bryant","NEC",-14.91,338,"(Conference Rank:  29)",10,"4 - 27","3 - 15"
"Murray St.","OVC",6.87,82,"(Conference Rank:  26)",1,"21 - 6","15 - 3"
"Belmont","OVC",5.23,99,"(Conference Rank:  26)",2,"24 - 7","16 - 2"
"Jacksonville St.","OVC",-0.05,168,"(Conference Rank:  26)",3,"20 - 10","12 - 6"
"Austin Peay","OVC",-1.96,191,"(Conference Rank:  26)",4,"14 - 14","11 - 7"
"Tennessee Tech","OVC",-4.63,234,"(Conference Rank:  26)",5,"16 - 13","10 - 8"
"Tennessee St.","OVC",-4.9,240,"(Conference Rank:  26)",6,"11 - 16","8 - 10"
"Southeast Mo. St.","OVC",-6.01,251,"(Conference Rank:  26)",7,"12 - 17","8 - 10"
"Eastern Ill.","OVC",-6.95,257,"(Conference Rank:  26)",8,"9 - 18","7 - 11"
"Morehead St.","OVC",-7.28,261,"(Conference Rank:  26)",9,"7 - 20","5 - 13"
"UT Martin","OVC",-8.54,286,"(Conference Rank:  26)",10,"9 - 20","6 - 12"
"Eastern Ky.","OVC",-9,296,"(Conference Rank:  26)",11,"9 - 20","5 - 13"
"SIUE","OVC",-11.91,327,"(Conference Rank:  26)",12,"9 - 20","5 - 13"
"Arizona St.","Pac 12",13.71,27,"(Conference Rank:  6)",1,"23 - 7","11 - 7"
"Arizona","Pac 12",13.38,29,"(Conference Rank:  6)",2,"25 - 6","15 - 3"
"Southern California","Pac 12",10.92,48,"(Conference Rank:  6)",3,"21 - 10","12 - 6"
"UCLA","Pac 12",9.1,62,"(Conference Rank:  6)",4,"19 - 11","10 - 8"
"Oregon","Pac 12",8.54,68,"(Conference Rank:  6)",5,"20 - 11","10 - 8"
"Utah","Pac 12",8.13,72,"(Conference Rank:  6)",6,"18 - 11","10 - 8"
"Washington","Pac 12",5.63,93,"(Conference Rank:  6)",7,"20 - 11","10 - 8"
"Oregon St.","Pac 12",4.83,102,"(Conference Rank:  6)",8,"15 - 15","7 - 11"
"Stanford","Pac 12",4.71,103,"(Conference Rank:  6)",9,"15 - 16","9 - 9"
"Colorado","Pac 12",3.45,124,"(Conference Rank:  6)",10,"16 - 14","8 - 10"
"Washington St.","Pac 12",1.91,148,"(Conference Rank:  6)",11,"13 - 17","5 - 13"
"California","Pac 12",-4.36,225,"(Conference Rank:  6)",12,"9 - 21","3 - 15"
"Bucknell","Patriot",5.37,98,"(Conference Rank:  28)",1,"22 - 9","16 - 2"
"Army West Point","Patriot",-2.84,206,"(Conference Rank:  28)",2,"16 - 12","10 - 8"
"Colgate","Patriot",-3.37,213,"(Conference Rank:  28)",3,"16 - 12","12 - 6"
"Boston U.","Patriot",-3.38,214,"(Conference Rank:  28)",4,"15 - 13","12 - 6"
"Navy","Patriot",-6.38,253,"(Conference Rank:  28)",5,"16 - 14","8 - 10"
"Loyola Maryland","Patriot",-7.61,270,"(Conference Rank:  28)",6,"10 - 18","9 - 9"
"Lehigh","Patriot",-7.89,274,"(Conference Rank:  28)",7,"10 - 18","6 - 12"
"Lafayette","Patriot",-7.91,275,"(Conference Rank:  28)",8,"7 - 21","6 - 12"
"Holy Cross","Patriot",-9.04,298,"(Conference Rank:  28)",9,"10 - 19","7 - 11"
"American","Patriot",-11.61,323,"(Conference Rank:  28)",10,"7 - 22","4 - 14"
"Auburn","SEC",17.09,10,"(Conference Rank:  4)",1,"27 - 4","15 - 3"
"Tennessee","SEC",16.5,14,"(Conference Rank:  4)",2,"23 - 7","13 - 5"
"Kentucky","SEC",14.04,24,"(Conference Rank:  4)",3,"22 - 9","11 - 7"
"Florida","SEC",14,25,"(Conference Rank:  4)",4,"21 - 10","12 - 6"
"Arkansas","SEC",12.72,34,"(Conference Rank:  4)",5,"20 - 11","9 - 9"
"Texas A&M","SEC",12.35,39,"(Conference Rank:  4)",6,"19 - 12","8 - 10"
"Missouri","SEC",11.07,46,"(Conference Rank:  4)",7,"17 - 13","8 - 10"
"LSU","SEC",9.78,58,"(Conference Rank:  4)",8,"17 - 13","8 - 10"
"Alabama","SEC",9.33,61,"(Conference Rank:  4)",9,"18 - 13","9 - 9"
"Mississippi St.","SEC",8.64,65,"(Conference Rank:  4)",10,"19 - 11","8 - 10"
"Georgia","SEC",8.57,66,"(Conference Rank:  4)",11,"16 - 14","7 - 11"
"South Carolina","SEC",8.07,75,"(Conference Rank:  4)",12,"15 - 15","7 - 11"
"Ole Miss","SEC",7.22,80,"(Conference Rank:  4)",13,"14 - 17","7 - 11"
"Vanderbilt","SEC",6.46,88,"(Conference Rank:  4)",14,"11 - 20","5 - 13"
"ETSU","Southern",9.81,57,"(Conference Rank:  22)",1,"24 - 5","17 - 1"
"Furman","Southern",6.4,89,"(Conference Rank:  22)",2,"20 - 9","13 - 5"
"UNCG","Southern",4.41,105,"(Conference Rank:  22)",3,"20 - 8","14 - 4"
"Wofford","Southern",1.84,150,"(Conference Rank:  22)",4,"18 - 10","12 - 6"
"Mercer","Southern",1.41,155,"(Conference Rank:  22)",5,"14 - 15","9 - 9"
"Samford","Southern",-9.4,301,"(Conference Rank:  22)",6,"8 - 21","6 - 12"
"Chattanooga","Southern",-9.58,302,"(Conference Rank:  22)",7,"7 - 22","3 - 15"
"Western Caro.","Southern",-10.15,308,"(Conference Rank:  22)",8,"10 - 19","7 - 11"
"VMI","Southern",-12.64,333,"(Conference Rank:  22)",9,"7 - 20","4 - 14"
"The Citadel","Southern",-14.01,335,"(Conference Rank:  22)",10,"6 - 21","4 - 14"
"SFA","Southland",2.78,133,"(Conference Rank:  25)",1,"21 - 6","14 - 4"
"Central Ark.","Southland",-0.73,175,"(Conference Rank:  25)",2,"16 - 14","11 - 7"
