"team","departing_ppg","returning_ppg","transfer_ppg","net_ppg","mins","off_coeff","def_coeff","yusag_coeff","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score"
"Incarnate Word",6.91548,-1.027655,0,-7.943135,0.428878362202146,-4.26381450170445,-2.74394017157813,-7.00775467328257,0,0,0,0,0,0
"Indiana",15.35027,5.94949,1.406309,-7.994471,0.417921536131668,13.0838239536405,5.53576056128122,18.6195845149218,0,2,3,5,89.83,58.52
"Indiana St.",2.967899,3.83518,0,0.867281,0.630326065213043,-1.28627511740101,1.20050234927599,-0.0857727681250551,0,0,0,1,80.83,10.83
"Iona",9.651181,4.96974,0.845481,-3.83596,0.402958071373649,7.05392905240569,-2.19103916357179,4.86288988883393,0,0,0,1,0,0
"Iowa",11.33685,4.99926,0,-6.33759,0.403357985208875,9.03293101672168,6.59451345078454,15.6274444675062,0,1,4,5,87.02,48.45
"Iowa St.",11.72076,9.25339,1.758701,-0.708669,0.52356523096826,15.3131261769387,0.437882406602417,15.7510085835411,0,1,3,4,90.06,49.82
"IUPUI",1.808724,3.4690379,1.91629,3.5766039,0.515703140628126,-4.37402470327619,0.0382025858630568,-4.33582211741314,0,0,0,1,76.67,6.67
"Jackson St.",1.83115,2.498155,0,0.667005,0.731546309261852,-7.66876169503616,1.33053154963548,-6.33823014540068,0,0,0,0,0,0
"Jacksonville",3.39637,3.0790833,-0.00676229,-0.324048990000001,0.698103325726685,-1.38603066490734,-6.38075440203358,-7.76678506694094,0,0,0,0,0,0
"Jacksonville St.",2.001907,4.658898,0,2.656991,0.521131771960566,-8.7699998906374,-0.327263602805294,-9.09726349344271,0,0,0,0,0,0
"James Madison",5.70618,5.514435,1.0915,0.899755000000001,0.751150230046009,1.59273826827748,4.79548705584007,6.38822532411755,0,0,0,0,0,0
"Kansas",8.3835,10.36658,1.68633,3.66941,0.579684063187362,13.4331567590821,9.28238505839646,22.7155418174785,1,2,0,3,97.31,62.56
"Kansas St.",3.774077,9.597761,0,5.823684,0.752342303083124,2.33505489344507,8.6045636966019,10.939618590047,0,0,3,3,86.14,37.91
"Kennesaw St.",3.516184,3.617784,0,0.1016,0.617076584683063,-2.27869305827451,-4.49981558962393,-6.7785086478985,0,0,0,1,0,0
"Kent St.",7.623313,3.73707,0,-3.886243,0.3356,-0.384244493616268,-1.05833279651559,-1.44257729013187,0,0,1,1,83.33,13.33
"Kentucky",17.33165,4.64997,0,-12.68168,0.311537692461508,11.9389362760839,7.61393494863944,19.5528712247234,5,0,0,5,99.55,70.6
