team,off_coeff,def_coeff,yusag_coeff,off_sd,def_sd,yusag_sd,departing_ppg,returning_ppg,transfer_ppg,net_ppg,mins,stars_5,stars_4,stars_3,num_star_players,avg_recruit_score,composite_score
Kennesaw St.,-6.303969278,-4.782833913,-11.08680319,0.319710332,0.308858461,0.44453149,7.255693,-0.520372,0,-7.776065,0.48222795,0,0,0,0,0,0
Kent St.,-1.908870267,-0.965320266,-2.874190533,0.274855803,0.242293639,0.366404039,3.84133,6.769227,1.884008,4.811905,0.640641124,0,0,0,1,0,0
Kentucky,12.37497351,6.766588397,19.1415619,2.039881953,2.018824833,2.869977716,11.55798,5.00083,4.48898,-2.06817,0.330866173,4,1,0,5,99.37,70.29
La Salle,-0.323244322,-1.12509686,-1.448341182,0.230441976,0.21755603,0.316913443,7.39363,4.006995,1.2791,-2.107535,0.525854785,0,0,0,1,79.06,9.06
La.-Monroe,-5.161285153,-0.198138684,-5.359423837,0.267082774,0.228709304,0.351626441,4.431209,3.57874,0,-0.852469,0.494099423,0,0,0,0,0,0
Lafayette,-1.585783591,-3.02201689,-4.607800481,0.231238541,0.206610124,0.310095157,2.867249,5.044137,0,2.176888,0.739617174,0,0,1,1,85.78,15.78
Lamar University,-2.903064255,-1.376031234,-4.279095489,0.202503938,0.204644459,0.287901371,3.854117,3.84395,1.2178415,1.2076745,0.384408977,0,0,0,0,0,0
Lehigh,2.108141565,-5.314123741,-3.205982176,0.302134278,0.319898913,0.440023223,2.95182,7.450859,0,4.499039,0.848758855,0,0,0,0,0,0
Liberty,-3.850830731,2.529419448,-1.321411283,0.371066405,0.311875652,0.484723323,2.09544,7.564091,0,5.468651,0.774418363,0,0,0,0,0,0
Lipscomb,4.701370828,-3.963761121,0.737609707,0.449955263,0.35313307,0.571981384,0,9.1819534,0,9.1819534,0.885233988,0,0,0,1,0,0
Little Rock,-6.800536792,0.089343782,-6.71119301,0.403308291,0.350274615,0.534181508,2.07364,0.80278,1.46431,0.19345,0.69566319,0,0,1,1,88.68,18.68
LIU Brooklyn,-0.250026722,-5.14071604,-5.390742762,0.241782045,0.245526841,0.344589592,2.8660271,5.24548,0,2.3794529,0.643928786,0,0,0,0,0,0
Long Beach St.,3.791738007,-3.537501854,0.254236153,0.423805112,0.319936945,0.531008871,3.46389,6.483589,0,3.019699,0.783332221,0,0,2,2,87,30.69
Longwood,-8.098801982,-4.850809834,-12.94961182,0.322977621,0.289213529,0.433542396,1.2402347,0.822522,0,-0.4177127,0.540959865,0,0,0,0,0,0
Louisiana,2.675936759,0.463352608,3.139289366,0.368242323,0.330918283,0.495085163,8.0951,5.91849,0,-2.17661,0.597358662,0,0,0,0,0,0
Louisiana Tech,-0.920735439,1.097983834,0.177248395,0.313174041,0.292599225,0.428593382,4.75529,7.615566,0,2.860276,0.741319136,0,0,0,0,0,0
Louisville,0.206130883,2.291323222,2.497454104,0.464264766,0.464259355,0.656565702,11.64324,1.00968,2.05113,-8.58243,0.437616362,0,0,0,1,0,0
Loyola Chicago,1.560245606,8.042482669,9.602728274,0.477829746,0.339005524,0.58587201,6.38038,10.36695,0,3.98657,0.584777107,0,0,2,2,85.89,28.79
Loyola Maryland,-4.172868447,-3.953012333,-8.12588078,0.262295625,0.236318989,0.353051921,3.27587,2.280544,0,-0.995326,0.702515911,0,0,1,1,84,14
Loyola Marymount,-0.276685735,-1.696318112,-1.973003847,0.3729345,0.342983928,0.50667358,2.48521,9.760378,0,7.275168,0.855628874,0,0,0,0,0,0
LSU,11.11871538,4.308432363,15.42714774,0.816142207,0.465737084,0.939680336,6.04157,10.60399,0,4.56242,0.601302032,2,2,2,6,94.93,68.91
Maine,-5.731289042,-6.107912837,-11.83920188,0.364467004,0.337859819,0.496976312,2.6382,-1.356223,0,-3.994423,0.547112448,0,0,0,0,0,0
Manhattan,-5.907100899,0.571222821,-5.335878077,0.276940551,0.274618042,0.390014279,5.247134,2.248549,0,-2.998585,0.419519064,0,0,0,1,0,0
Marist,-1.471028584,-5.355213682,-6.826242267,0.276304876,0.306911503,0.412963746,0,6.81901,0,6.81901,0.93837054,0,0,0,0,0,0
Marquette,9.840079409,3.072566913,12.91264632,0.659694354,0.628371327,0.911069242,5.62677,17.655506,3.32018,15.348916,0.784886046,0,1,0,1,98.19,28.19
