"team","departing_ppg","returning_ppg","transfer_ppg","net_ppg","mins"
"Rice",10.58071,1.47346,0,-9.10725,0.3022
"Richmond",8.32983,6.114859,0,-2.214971,0.643857543017207
"Rider",5.91964,1.0556302,1.00269,-3.8613198,0.776644671065787
"Robert Morris",2.690792,0.0289456,0,-2.6618464,0.799891162835552
"Rutgers",3.65222,5.558637,0,1.906417,0.542925755453272
"Sacramento St.",5.374411,1.329728,0,-4.044683,0.806321508325719
"Sacred Heart",2.899793,2.2850185,0,-0.6147745,0.531822281553306
"Saint Joseph's",2.90123,5.400383,0,2.499153,0.593350831146107
"Saint Louis",2.173001,1.812207,0.240745,-0.120048999999999,0.567946257197697
"Saint Mary's",5.51384,11.8087,2.53836,8.83322,0.396208708708709
"Saint Peter's",4.749254,2.487145,0,-2.262109,0.545363709032774
"Sam Houston St.",2.4183185,1.784028,0.0739,-0.5603905,0.545319388612828
"Samford",0,11.35624,1.15423,12.51047,0.26391792813136
"San Diego",1.887964,4.758546,1.80583,4.676412,0.763516141579152
"San Diego St.",5.480046,6.17169,3.82791,4.519554,0.629222466520088
"San Francisco",3.67073,5.1768356,0,1.5061056,0.786685325869652
"San Jose St.",4.1694842,2.4290555,0,-1.7404287,0.431476965285981
"Santa Clara",5.74604,5.926741,0,0.180701,0.5024378373994
"Savannah St.",4.283311,1.9694304,0,-2.3138806,0.287766573763818
"Seattle",4.349326,0.325242,0,-4.024084,0.3438
"Seton Hall",0.416088,14.177988,0,13.7619,0.376075215043009
"Siena",10.02964,1.885195,0,-8.144445,0.575671745781709
"SIU Edwardsville",0.853895,2.689778,0,1.835883,0.742423551930001
"SMU",13.85376,8.587564,0.420505,-4.845691,0.691613745065736
"South Alabama",5.8667925,-0.752261,0.389764,-6.2292895,0.74089469517023
"South Carolina",11.71094,3.077927,3.399037,-5.233976,0.671753808570556
"South Carolina St.",6.93025,-1.5922856,0,-8.5225356,0.599410307273134
"South Dakota",4.03472,6.421935,0,2.387215,0.675517828854948
"South Dakota St.",2.84761,7.604623,0,4.757013,0.566106282517819
"South Florida",4.6867851,0.37264,2.442676,-1.8714691,0.299824889011604
"Southeast Missouri St.",6.871615,3.596148,0,-3.275467,0.455004888202088
"Southeastern Louisiana",-0.644166,5.6075,0,6.251666,0.362067152209923
"Southern",2.1984693,3.298818,0.669628,1.7699767,0.347849787870266
"Southern Illinois",7.231581,2.970384,-1.21989,-5.481087,0.827124992109527
"Southern Miss",1.1135389,0.504539,0.778352,0.1693521,0.855729250438895
"Southern Utah",4.11603,1.82789,0.501403,-1.786737,0.518202502844141
"St. Bonaventure",2.679549,11.39983,0,8.720281,0.414282856571314
"St. Francis NY",-1.312112,0.901511,0,2.213623,0.560624427373317
"St. Francis PA",2.344442,5.82558,0,3.481138,0.894251486110772
"St. John's",2.64279,11.255212,0,8.612422,0.59160987184932
"Stanford",1.38004028,8.980282,0,7.60024172,0.538206999502405
"Stephen F. Austin",0.714144,5.00147,0,4.287326,0.685725558878227
"Stetson",2.89463,3.9550431,0,1.0604131,0.363425329594007
"Stony Brook",4.192456,3.0691702,0,-1.1232858,0.482878553222051
"Syracuse",15.82451,3.03586,2.78638,-10.00227,0.907581516303261
