"team","conf","conf_rank","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score","year"
"East Tennessee State","Southern",3,0,0,1,1,84.93,NA,2009
"Citadel","Southern",4,0,0,0,2,78.13,NA,2009
"Elon","Southern",5,0,0,1,1,83.33,NA,2009
"Davidson","Southern",6,0,0,1,2,72.5,NA,2009
"Furman","Southern",7,0,0,1,2,71.14,NA,2009
"UNC Greensboro","Southern",8,0,0,0,1,42.78,NA,2009
"Kentucky","SEC",1,4,1,1,6,96.62,70.58,2010
"Memphis","AAC",1,3,2,2,7,94.41,69.36,2010
"Ohio State","Big-Ten",1,2,2,2,6,96.07,69.22,2010
"Syracuse","ACC",1,2,1,1,4,96.47,66.62,2010
"Florida","SEC",2,1,2,2,6,91.51,66.42,2010
"Baylor","Big-12",1,1,2,2,5,94.72,66.32,2010
"North Carolina","ACC",2,2,1,0,3,99.48,65.51,2010
"Georgetown","Big-East",1,0,3,2,5,95.06,65.09,2010
"Michigan State","Big-Ten",2,1,2,1,4,95.52,64.7,2010
"N.C. State","ACC",3,2,1,0,3,99.05,64.55,2010
"South Carolina","SEC",3,0,3,3,6,91.97,63.73,2010
"Tennessee","SEC",4,1,2,0,3,98.33,63.58,2010
"Illinois","Big-Ten",3,0,3,0,3,98.23,63.08,2010
"Missouri","SEC",5,1,1,4,6,90.63,62.97,2010
"Virginia","ACC",4,0,2,4,6,91.1,61.75,2010
"Duke","ACC",5,1,1,1,3,96.63,61.62,2010
"Stanford","Pac-12",1,0,2,4,6,91.39,61.34,2010
"Xavier","Big-East",2,0,3,1,4,94.09,60.88,2010
"Marquette","Big-East",3,0,3,3,6,91.26,60.05,2010
"Alabama","SEC",6,0,2,3,6,88.22,58.53,2010
"LSU","SEC",7,0,2,2,4,92.23,56.17,2010
"Texas A&M","SEC",8,0,2,2,4,92.55,55.76,2010
"Connecticut","AAC",2,0,2,1,3,93.65,55.33,2010
"Auburn","SEC",9,0,1,4,6,88.27,55.2,2010
"Florida State","ACC",6,0,2,0,3,92.16,55.03,2010
"Dayton","A-10",1,0,1,3,4,90.97,54.22,2010
"Oklahoma State","Big-12",2,0,1,4,5,88.41,54.05,2010
"California","Pac-12",2,0,2,1,3,93.15,53.95,2010
"Texas","Big-12",3,2,0,0,2,99.57,53.24,2010
"Vanderbilt","SEC",10,0,2,2,4,91.39,53.06,2010
"Maryland","Big-Ten",4,0,1,3,5,86.57,52.69,2010
"Arizona","Pac-12",3,0,1,3,4,89.41,52.32,2010
"Pittsburgh","ACC",7,0,1,2,3,92.53,52.25,2010
"UCLA","Pac-12",4,1,1,0,2,98.94,52.19,2010
"Washington","Pac-12",5,0,1,2,3,92.16,52.02,2010
"Arizona State","Pac-12",6,0,1,6,7,86.34,51.99,2010
"Purdue","Big-Ten",5,0,1,2,3,92.31,51.84,2010
"USC","Pac-12",7,0,1,3,4,89.31,51.16,2010
"Ole Miss","SEC",11,0,2,3,5,86.93,50.61,2010
"Oklahoma","Big-12",4,0,1,3,6,84.4,50.31,2010
"FIU","C-USA",1,0,1,2,5,83.32,50.14,2010
"Villanova","Big-East",4,0,2,0,2,97.83,50.14,2010
"Saint Joseph's","A-10",2,0,0,5,6,86.88,49.28,2010
"Kansas State","Big-12",5,0,1,3,5,86.74,49.19,2010
"Michigan","Big-Ten",6,0,1,2,3,91.04,49.1,2010
"Detroit","Horizon",1,0,1,2,5,84.28,49.02,2010
"Wake Forest","ACC",8,0,2,0,2,96.29,47.65,2010
"Kansas","Big-12",6,1,0,1,2,95.86,47.37,2010
"Notre Dame","ACC",9,0,0,3,3,90.41,46.66,2010
"West Virginia","Big-12",7,0,2,0,2,95.02,45.51,2010
"Wisconsin","Big-Ten",7,0,0,4,4,88.57,44.9,2010
"Miami","ACC",10,0,1,2,3,88.44,44.59,2010
