"player","old_team","new_team","yr","trank_ppg","mins_pct","year"
"Reid Travis","Stanford","Kentucky","Jr",4.48898,84.4,2018
"Kyle Castlin","Columbia","Xavier","Sr",2.54502,37.1,2018
"Khy Kabellis","North Dakota St.","Pacific","So",0.50802,83.6,2017
"Eric Hester","Florida","Akron","Fr",1.27962,7.6,2017
"Tyler Underwood","Oklahoma St.","Illinois","Fr",-0.0682902,2.1,2017
"Deon Barrett","UTEP","UT Arlington","Fr",0.0548122,32.1,2017
"Samir Doughty","VCU","Auburn","So",1.40916,57.1,2017
"Jeantal Cylla","Florida Atlantic","UNC Wilmington","So",0.34363,53.2,2017
"Gabe Taylor","Portland","Cal Baptist","Jr",1.34546,84.9,2017
"Schadrac Casimir","Iona","Florida Gulf Coast","Jr",2.56316,63.1,2018
"JaQuan Lyle","Ohio St.","New Mexico","So",2.85146,70.7,2017
"Trevor John","Cal Poly","Drexel","Jr",1.11378,16.4,2018
"Peter Kiss","Quinnipiac","Rutgers","Fr",1.22851,74,2017
"Quavius Copeland","Middle Tennessee","North Carolina A&T","Jr",-0.127407,10,2017
"James Butler","Navy","Drexel","Fr",0.492384,1.4,2017
"Hassan Hussein","FIU","Illinois Chicago","Jr",0.0906574,42.8,2018
"Nisre Zouzoua","Bryant","Nevada","So",3.03788,84.5,2017
"Danny Dixon","George Mason","UMKC","So",0.144452,2,2017
"Chase Jeter","Duke","Arizona","So",-0.0927145,16.1,2017
"Tory Miller-Stewart","Colorado","Denver","Sr",-0.511677,10.3,2018
"Kory Holden","South Carolina","South Alabama","Jr",-0.0830561,11.8,2018
"Dejon Jarreau","Massachusetts","Houston","Fr",1.11444,57.2,2017
"Sidy N'Dir","New Mexico St.","Pittsburgh","Jr",1.37806,65.1,2018
"Tre Campbell","Georgetown","South Carolina","Jr",0.173264,22.8,2017
"Damien Jefferson","New Mexico","Creighton","Fr",0.214118,35.1,2017
"Evan Boudreaux","Dartmouth","Purdue","So",2.32545,83.3,2017
"Kieran Hayward","LSU","Massachusetts","Fr",-0.225533,17.3,2017
"C.J. Bobbitt","Denver","New Mexico St.","So",1.2278,64.5,2017
"Larry Austin Jr.","Vanderbilt","Central Michigan","Jr",0.295896,19.7,2018
"Thomas Smallwood","UAB","Chattanooga","Jr",-0.668949,5.1,2018
"Michael Weathers","Miami OH","Oklahoma St.","Fr",2.38374,71.4,2017
"Davonte Fitzgerald","Minnesota","Stephen F. Austin","Sr",0.271757,31.9,2018
"Eddie Davis III","Southern Miss","Hartford","Jr",1.20611,34.3,2018
"Patrick Muldoon","Eastern Illinois","Kansas St.","So",-0.0221996,48.9,2017
"Michael Kolawole","Illinois Chicago","Lamar","So",-0.00572674,38.2,2017
"Joseph Battle","Tulsa","Appalachian St.","Fr",-0.0738432,4,2017
"Tahj Eaddy","Southeast Missouri St.","Santa Clara","Fr",0.948353,50.7,2017
"Philip Flory","Seton Hall","Albany","Fr",0.00967794,4.1,2018
"Kobe Paras","Creighton","Cal St. Northridge","Fr",-0.00180696,4.3,2017
"A.J. Caldwell","South Alabama","Chattanooga","Fr",-0.540219,1.2,2018
"Jordan Roland","George Washington","Northeastern","So",1.9903,50.2,2017
"Tariq Owens","St. John's","Texas Tech","Jr",1.61609,75.3,2018
"Ryan Luther","Pittsburgh","Arizona","Sr",2.93223,25.2,2018
"Erten Gazi","DePaul","Fordham","So",0.537712,4.3,2017
"Xavier Williams","Tennessee St.","Robert Morris","Jr",-0.30575,3.5,2017
"Jarred Reuter","Virginia","George Mason","So",1.04692,24.9,2017
